id,family_id,parent_id,name,bookkeeping,level,latitude,longitude,iso639P3code,description,markup_description,child_family_count,child_language_count,child_dialect_count,country_ids
aari1238,sout2845,ahkk1235,Aari-Gayil,FALSE,family,,,aiz,,,0,2,0,
aari1239,sout2845,aari1238,Aari,FALSE,language,595.034,365.721,aiw,,,0,0,0,ET
aasa1238,afro1255,sout3054,Aasax,FALSE,language,-400.679,368.648,aas,,,0,0,0,TZ
abab1240,atla1278,ngom1276,Ababuan,FALSE,family,,,,,,12,21,31,
abad1241,aust1307,west2850,Abadi,FALSE,language,-903.389,146.992,kbt,,,0,0,0,PG
abag1245,nucl1709,unun9976,Abaga,FALSE,language,-612.028,145.665,abg,,,0,0,0,PG
abai1240,aust1307,pait1248,Abai Sungai,FALSE,language,555.394,118.306,abf,,,0,0,0,MY
aban1242,atla1278,aban1245,Abanyom,FALSE,language,630.619,863.055,abm,,,0,0,0,NG
aban1245,atla1278,nort3374,Abanyom-Nkem-Nkum,FALSE,family,,,,,,0,2,2,
abar1238,atla1278,yemn1234,Mungbam,FALSE,language,6.5805,10.2267,mij,,,0,0,6,CM
abau1245,sepi1257,sepi1257,Abau,FALSE,language,-397.222,141.324,aau,,,0,0,0,PG
abaz1241,abkh1242,abkh1243,Abaza,FALSE,language,44.25,42.0,abq,,,0,0,3,RU TR
abee1242,atla1278,agne1238,Abé,FALSE,language,559.682,-438.497,aba,,,0,0,4,CI
abel1234,aust1307,samb1319,Abellen-Botolan,FALSE,family,,,,,,0,2,2,
aben1249,aust1307,abel1234,Abenlen Ayta,FALSE,language,154.131,120.2,abp,,,0,0,0,PH
aben1250,algi1248,nort3414,Abenaki,FALSE,family,,,,,,0,2,1,
abid1235,atla1278,agne1238,Abidji,FALSE,language,565.656,-458.421,abi,,,0,0,2,CI
abin1243,,,Abinomn,FALSE,language,-292.281,138.891,bsa,,,0,0,0,ID
abip1241,guai1249,guai1250,Abipon,FALSE,language,-29.0,-61.0,axb,,,0,0,0,AR
abis1238,,,Aewa,FALSE,language,-1.284.096,-75.084.405,ash,,,0,0,0,PE
abkh1242,,,Abkhaz-Adyge,FALSE,family,,,,,,2,5,13,
abkh1243,abkh1242,abkh1242,Abkhaz-Abaza,FALSE,family,,,,,,0,2,6,
abkh1244,abkh1242,abkh1243,Abkhaz,FALSE,language,43.056.218,41.159.115,abk,,,0,0,3,GE RU TR
abob1234,atla1278,basa1283,Abo-Barombi,FALSE,family,,,,,,0,2,0,
abom1238,anim1240,tiri1259,Abom,FALSE,language,-842.448,142.842,aob,,,0,0,0,PG
abon1238,atla1278,nort3192,Abon,FALSE,language,690.621,10.8769,abo,,,0,0,0,CM NG
abor1241,aust1307,nort3185,Aborlanic,FALSE,family,,,,,,0,2,0,
abro1238,atla1278,akan1251,Abron,FALSE,language,772.094,-250.289,abr,,,0,0,0,CI GH
abua1243,atla1278,cent2028,Abua-Odual,FALSE,family,,,,,,0,3,8,
abua1244,atla1278,abua1243,Abua,FALSE,language,483.057,661.492,abn,,,0,0,4,NG
abua1245,nucl1708,buki1250,Abu' Arapesh,FALSE,language,-3.461.612,142.917.031,aah,,,0,0,0,PG
abui1241,timo1261,abui1242,Abui,FALSE,language,-831.058,124.588,abz,,,0,0,4,ID
abui1242,timo1261,alor1250,Abuic,FALSE,family,,,,,,0,2,10,
