id,family_id,parent_id,name,bookkeeping,level,latitude,longitude,iso639P3code,description,markup_description,child_family_count,child_language_count,child_dialect_count,country_ids
3adt1234,afro1255,nort3292,3Ad-Tekles,FALSE,dialect,,,,,,0,0,0,
aala1237,aust1307,ramo1244,Aalawa,FALSE,dialect,,,,,,0,0,0,
aant1238,nucl1709,nort2920,Aantantara,FALSE,dialect,,,,,,0,0,0,
aari1238,sout2845,ahkk1235,Aari-Gayil,FALSE,family,,,aiz,,,0,2,0,
aari1239,sout2845,aari1238,Aari,FALSE,language,595.034,365.721,aiw,,,0,0,0,ET
aari1240,book1242,book1242,Aariya,TRUE,language,,,aay,,,0,0,0,IN
aasa1238,afro1255,sout3054,Aasax,FALSE,language,-400.679,368.648,aas,,,0,0,0,TZ
aasd1234,indo1319,ferr1240,Aasdring,FALSE,dialect,,,,,,0,0,0,
aata1238,nucl1709,sout2943,Aatasaara,FALSE,dialect,,,,,,0,0,0,
abaa1238,sino1245,nort3305,Rngaba,FALSE,dialect,,,,,,0,0,0,
abab1239,afro1255,beja1238,Ababda,FALSE,dialect,,,,,,0,0,0,
abab1240,atla1278,ngom1276,Ababuan,FALSE,family,,,,,,12,21,31,
abad1240,abkh1242,adyg1241,Abadzex,FALSE,dialect,,,,,,0,0,0,
abad1241,aust1307,west2850,Abadi,FALSE,language,-903.389,146.992,kbt,,,0,0,0,PG
abad1242,indo1319,fars1256,Abadei,FALSE,dialect,,,,,,0,0,0,
abad1243,indo1319,khuz1234,Abadani,FALSE,dialect,,,,,,0,0,0,
abag1245,nucl1709,unun9976,Abaga,FALSE,language,-612.028,145.665,abg,,,0,0,0,PG
abai1239,aust1307,lund1271,Abai,FALSE,dialect,,,,,,0,0,0,
abai1240,aust1307,pait1248,Abai Sungai,FALSE,language,555.394,118.306,abf,,,0,0,0,MY
abai1241,aust1307,muru1275,Abai Tubu-Abai Sembuak,FALSE,language,3.524.226,116.162.455,,,,0,0,0,ID
abaj1234,indo1319,mexi1248,Abajeño Mexican Spanish,FALSE,dialect,,,,,,0,0,0,
abak1242,atla1278,anaa1238,Abak,FALSE,dialect,,,,,,0,0,0,
abak1243,aust1307,ilon1239,Abaka,FALSE,dialect,,,,,,0,0,0,
abal1238,yele1255,yele1255,Abaletti,FALSE,dialect,,,,,,0,0,0,
abam1239,east2503,wipi1242,Abam,FALSE,dialect,,,,,,0,0,0,
aban1242,atla1278,aban1245,Abanyom,FALSE,language,630.619,863.055,abm,,,0,0,0,NG
aban1243,quec1387,east2551,Abancay,FALSE,dialect,,,,,,0,0,0,
aban1245,atla1278,nort3374,Abanyom-Nkem-Nkum,FALSE,family,,,,,,0,2,2,
abar1238,atla1278,yemn1234,Mungbam,FALSE,language,6.5805,10.2267,mij,,,0,0,6,CM
abar1239,atla1278,mung1275,Abar,FALSE,dialect,,,,,,0,0,0,
abau1245,sepi1257,sepi1257,Abau,FALSE,language,-397.222,141.324,aau,,,0,0,0,PG
abay1238,atla1278,agwa1247,Abayongo,FALSE,dialect,,,,,,0,0,0,
abaz1241,abkh1242,abkh1243,Abaza,FALSE,language,44.25,42.0,abq,,,0,0,3,RU TR
abbe1238,atla1278,abee1242,Abbey-Ve,FALSE,dialect,,,,,,0,0,0,
abbr1238,indo1319,sout3309,Abbruzzesi,FALSE,dialect,,,,,,0,0,0,
abch1234,indo1319,nayi1242,Abchuya'i,FALSE,dialect,,,,,,0,0,0,
abda1238,afro1255,soqo1240,Abd Al-Kuri,FALSE,dialect,12.1959,522.282,,,,0,0,0,YE
abed1238,cent2225,lugb1240,Abedju-Azaki,FALSE,dialect,,,,,,0,0,0,
abee1242,atla1278,agne1238,Abé,FALSE,language,559.682,-438.497,aba,,,0,0,4,CI
abee1243,atla1278,anyi1245,Abe (Anyin),FALSE,dialect,,,,,,0,0,0,
abel1234,aust1307,samb1319,Abellen-Botolan,FALSE,family,,,,,,0,2,2,
aben1247,sino1245,garo1247,Abeng,FALSE,dialect,,,,,,0,0,0,
aben1248,sino1245,garo1247,A'beng,FALSE,dialect,,,,,,0,0,0,
aben1249,aust1307,abel1234,Abenlen Ayta,FALSE,language,154.131,120.2,abp,,,0,0,0,PH
aben1250,algi1248,nort3414,Abenaki,FALSE,family,,,,,,0,2,1,
abgu1238,afro1255,birg1239,Abgue,FALSE,dialect,,,,,,0,0,0,
abid1235,atla1278,agne1238,Abidji,FALSE,language,565.656,-458.421,abi,,,0,0,2,CI
abie1238,nilo1247,sout2832,Abiem,FALSE,dialect,,,,,,0,0,0,
abig1238,nilo1247,nuer1246,Abigar,FALSE,dialect,,,,,,0,0,0,
